Search Query,Clicks,Impressions,CTR,Average Position,Query_Modified,CLUSTERS
google tee shirts,10,76,0.1316,1.0,google t-shirt shirt,2
google thermos,10,53,0.1887,1.5,google thermos,7
google tumbler,10,130,0.0769,3.9,google tumbler,7
pull google,10,43,0.2326,1.6,pull google,7
qkids merchandise,10,36,0.2778,1.3,merchandise,4
waze products,10,46,0.2174,2.4,waze products,4
wazemerch,10,40,0.2500,1.8,non ascii symbols punctuations numbers,1
youtube online shop,10,38,0.2632,3.1,youtube online shop,6
youtube tee shirt,10,115,0.0870,2.0,youtube t-shirt shirt,2
youtubemerch,10,49,0.2041,2.6,youtube,6
youtubers merchandise,10,521,0.0192,10.0,youtube merchandise,6
youtubes merch,10,60,0.1667,1.0,youtube merchandise,6
android hoodie,9,120,0.0750,3.9,android hoodie,4
bag google,9,50,0.1800,1.0,bag google,7
check us out on google sticker,9,46,0.1957,3.2,check us google sticker,7
google backpack buy,9,52,0.1731,1.0,google backpack buy,7
google business sticker,9,63,0.1429,5.0,google business sticker,7
google cloud certification perks webstore,9,18,0.5000,1.0,google cloud certification perks store,7
google merchandising,9,366,0.0246,1.7,google merchandise,7
google pouch,9,107,0.0841,3.3,google pouch,7
google stickers free,9,37,0.2432,1.4,google stickers free,7
google swag store,9,284,0.0317,1.1,google swag store,7
google t shirt design,9,198,0.0455,3.6,google shirt design,7
google tişört,9,105,0.0857,3.6,google ti rt,7
sticker store,9,1382,0.0065,13.0,sticker store,5
sweat google,9,32,0.2812,1.1,sweat google,7
t-shirt youtube,9,455,0.0198,3.1,shirt youtube,6
youtube clothing line,9,31,0.2903,2.3,youtube clothing line,5
youtube merch uk,9,124,0.0726,4.0,youtube merchandise uk,6
youtube stickers free,9,160,0.0562,8.3,youtube stickers free,6
youtube youtube youtube shirt,9,164,0.0549,2.2,youtube youtube youtube shirt,6
android figure toy,8,123,0.0650,7.8,android figure toy,5
free google shirt,8,161,0.0497,3.8,free google shirt,7
google clothes shopping,8,66,0.1212,1.6,google clothes shop,5
google cups,8,151,0.0530,1.9,google cups,7
google electronic products,8,182,0.0440,3.8,google electronic products,7
google for men,8,294,0.0272,1.0,google men,7
google ink pen,8,18,0.4444,1.0,google ink pen,7
google it shirt,8,126,0.0635,1.2,google shirt,7
google merchandise store hours,8,418,0.0191,3.4,google merchandise store hours,5
google shipping,8,1484,0.0054,8.3,google shipping,7
google snapback,8,51,0.1569,1.0,google snapback,7
google store backpack,8,14,0.5714,1.0,google store backpack,7
google store return policy canada,8,51,0.1569,4.7,google store return policy canada,5
google store tshirts,8,16,0.5000,1.0,google store shirt,5
google t shirt online,8,65,0.1231,3.4,google shirt online,7
googleplex gift shop,8,75,0.1067,2.7,google gift shop,5
googleplex merchandise store,8,54,0.1481,1.2,google merchandise store,5
rate us on google sticker,8,128,0.0625,6.1,rate us google sticker,7
shop google merchandise store,8,119,0.0672,1.0,shop google merchandise store,5
shop.googlemerchandisestore.com,8,79,0.1013,1.3,shop google com,7
t shirt store,8,2456,0.0033,12.0,shirt store,2
tensorflow t-shirt,8,82,0.0976,4.7,tensor flow shirt,4
tripolar merch,8,374,0.0214,8.2,merchandise,4
tripolar merchandise,8,178,0.0449,7.9,merchandise,4
you tube t shirt,8,120,0.0667,1.6,youtube shirt,6
you tube tshirt,8,89,0.0899,1.3,youtube shirt,6
youtube logo shirt,8,141,0.0567,2.0,youtube logo shirt,2
youtube mearch,8,49,0.1633,1.2,youtube,6
youtube shop london,8,279,0.0287,6.4,youtube shop london,5
youtube t shirt buy,8,64,0.1250,1.6,youtube shirt buy,2
youtuber store,8,116,0.0690,7.2,youtube store,6
bottle google,7,106,0.0660,1.0,bottle google,7
google accessories store,7,44,0.1591,3.4,google accessories store,5
google android figure,7,50,0.1400,5.4,google android figure,7
google bike jersey,7,26,0.2692,1.0,google bike jersey,7
google developer shirt,7,74,0.0946,5.3,google developer shirt,7
google duffel bag,7,14,0.5000,1.0,google duffel bag,3
google my business sticker,7,41,0.1707,7.6,google business sticker,7
google notebooks,7,699,0.0100,6.5,google notebooks,7
google pride shirt,7,21,0.3333,1.4,google pride shirt,2
google sticker packs,7,90,0.0778,4.9,google sticker packs,7
google store return policy,7,847,0.0083,7.6,google store return policy,7
google sun glasses,7,65,0.1077,1.4,google sun glasses,7
google マーチャンダイズストア,7,11,0.6364,3.4,google,7
local guide t shirt,7,109,0.0642,7.9,local guide shirt,2
merch store youtube,7,40,0.1750,1.3,merchandise store youtube,5
merchandising google,7,277,0.0253,1.0,merchandise google,7
sunglasses google,7,156,0.0449,2.8,sunglasses google,7
that youtub3 family merch,7,109,0.0642,6.2,youtube family merchandise,5
waze accessories,7,14,0.5000,1.0,waze accessories,4
willne merch,7,2551,0.0027,9.3,merchandise,4
you tube cap,7,37,0.1892,5.9,youtube cap,6
you tube shirt,7,131,0.0534,1.1,youtube shirt,6
youtube goods,7,27,0.2593,2.0,youtube goods,6
youtube kids shirt,7,108,0.0648,4.9,youtube kids shirt,6
youtube sticker,7,501,0.0140,7.5,youtube sticker,6
youtube tee,7,235,0.0298,4.9,youtube t-shirt,6
youtubeshop,7,296,0.0236,4.1,shop,4
android doll,6,317,0.0189,9.1,android doll,4
android figures,6,280,0.0214,9.5,android figures,4
android stickers for laptop,6,78,0.0769,5.5,android stickers laptop,3
android tshirts,6,30,0.2000,1.8,android shirt,2
ave store youtube,6,61,0.0984,8.5,ave store youtube,6
boosted youtube merch,6,31,0.1935,2.8,boosted youtube merchandise,6
brand google,6,468,0.0128,7.6,brand google,7
buy youtube merchandise,6,43,0.1395,1.0,buy youtube merchandise,5
chills merchandise youtube,6,32,0.1875,5.4,chills merchandise youtube,6
custom youtube shirt,6,157,0.0382,5.9,custom youtube shirt,2
flamingo youtube merch,6,84,0.0714,6.0,flamingo youtube merchandise,6
flutter t shirt,6,49,0.1224,4.7,flutter shirt,2
golang shirt,6,72,0.0833,8.9,shirt,2
google accessory,6,69,0.0870,2.6,google accessory,7
google android plush,6,20,0.3000,1.3,google android plush,7
google brand sunglasses,6,32,0.1875,1.2,google brand sunglasses,7
google chrome t shirt,6,72,0.0833,5.6,google chrome shirt,7
google developer tshirt,6,57,0.1053,5.4,google developer shirt,7
google goodie bag,6,41,0.1463,1.3,google goodie bag,3
google local guide t shirt 2018,6,43,0.1395,7.6,google local guide shirt,7
