Search Query,Clicks,Impressions,CTR,Average Position,Query_Modified,CLUSTERS
google merchandise store europe,5,29,0.1724,1.6,google merchandise store europe,5
google merchandise store uk,5,83,0.0602,1.0,google merchandise store uk,5
google merchandize store,5,122,0.0410,1.0,google merchandise store,5
google merchendise store,5,170,0.0294,1.0,google merchandise store,5
google partners store,5,178,0.0281,4.2,google partners store,7
google store in mountain view,5,52,0.0962,4.0,google store mountain view,7
google store returns,5,322,0.0155,7.4,google store returns,7
google swag,5,412,0.0121,1.7,google swag,7
google.merchandise,5,57,0.0877,1.0,google merchandise,7
googletee,5,44,0.1136,1.0,google,7
how to get check us out on google sticker,5,35,0.1429,4.3,get check us google sticker,7
ifam merchandise,5,202,0.0248,8.4,merchandise,4
kids merchandise,5,217,0.0230,3.1,kids merchandise,5
merch youtuber,5,473,0.0106,8.2,merchandise youtube,6
merchandise backpacks,5,61,0.0820,2.3,merchandise backpacks,5
morebags,5,50,0.1000,2.0,non ascii symbols punctuations numbers,1
perfectlaughs merch,5,472,0.0106,8.7,merchandise,4
review google on us decals,5,35,0.1429,6.5,review google us decals,7
review us on google stickers,5,54,0.0926,6.4,review us google stickers,7
review us on google window stickers,5,32,0.1562,9.9,review us google window stickers,7
shirt store,5,574,0.0087,14.0,shirt store,2
shop apparel,5,250,0.0200,6.0,shop apparel,5
store merchandise,5,215,0.0233,4.6,store merchandise,5
store shirts,5,154,0.0325,4.0,store shirt,2
sweater google,5,64,0.0781,1.5,sweater google,7
t shirts store,5,333,0.0150,12.0,shirt store,2
tee shirt store,5,319,0.0157,13.0,t-shirt shirt store,2
tote bag google,5,32,0.1562,1.1,tote bag google,3
tshirt youtube,5,162,0.0309,3.1,shirt youtube,6
waze clothing,5,102,0.0490,4.2,waze clothing,4
youtube fan shop,5,21,0.2381,1.6,youtube fan shop,6
youtube t,5,7089,0.0007,5.8,youtube,6
youtube t shirt black,5,41,0.1220,1.9,youtube shirt black,2
youtube wordmark crew grey,5,12,0.4167,1.0,youtube wordmark crew grey,6
youtube youtube youtube sweatshirt,5,39,0.1282,1.9,youtube youtube youtube shirt,6
youtuber shops,5,251,0.0199,8.4,youtube shop,6
гугл мерч,5,98,0.0510,2.2,non ascii symbols punctuations numbers,1
グーグル tシャツ,5,126,0.0397,2.6,non ascii symbols punctuations numbers,1
/google+redesign/accessories,4,10,0.4000,1.0,google redesign accessories,7
android cap,4,98,0.0408,4.8,android cap,4
android clothing store,4,8,0.5000,1.0,android clothing store,5
android figur,4,71,0.0563,19.0,android,4
android jacket,4,247,0.0162,6.9,android jacket,2
android mascot toy,4,59,0.0678,8.4,android mascot toy,5
apparel & t shirts online store,4,25,0.1600,9.6,apparel shirt online store,5
as seen on youtube shirt,4,40,0.1000,2.1,seen youtube shirt,2
baby merchandise,4,467,0.0086,11.0,baby merchandise,5
custom youtube shirts,4,52,0.0769,4.1,custom youtube shirt,2
firebase t-shirt,4,9,0.4444,1.9,firebase shirt,4
flamingo merch youtube,4,17,0.2353,3.4,flamingo merchandise youtube,6
flutter tshirt,4,14,0.2857,5.9,flutter shirt,2
gogle t,4,4500,0.0009,4.8,google,7
google baseball hat,4,31,0.1290,1.2,google baseball hat,2
google brand store,4,67,0.0597,1.0,google brand store,7
google coffee cup,4,62,0.0645,1.2,google cup,7
google developers t shirt,4,57,0.0702,8.3,google developers shirt,7
google gift shop mountain view,4,76,0.0526,1.7,google gift shop mountain view,5
google kids,4,2743,0.0015,11.0,google kids,7
google logo sunglasses,4,35,0.1143,1.1,google logo sunglasses,7
google mechandise store,4,59,0.0678,1.0,google merchandise store,5
google nest canada,4,192,0.0208,5.8,google nest canada,7
google shop merchandise,4,63,0.0635,1.0,google shop merchandise,5
google stickers india,4,49,0.0816,7.1,google stickers india,7
google store merch,4,30,0.1333,1.0,google store merchandise,5
google store shipping,4,147,0.0272,3.6,google store shipping,7
google store tracking,4,176,0.0227,5.2,google store tracking,7
google water,4,33950,0.0001,6.8,google water,7
google waterbottle,4,18,0.2222,1.1,google water bottle,3
googlemen,4,93,0.0430,4.7,google,7
googler hat,4,96,0.0417,1.1,google hat,7
googleshop,4,818,0.0049,8.1,shop,4
headgear shop,4,10,0.4000,3.5,headgear shop,4
how to get google t shirt,4,37,0.1081,2.7,get google shirt,7
how to get youtube t shirt free,4,37,0.1081,4.3,get youtube shirt free,2
merch for youtube,4,165,0.0242,8.0,merchandise youtube,6
merch google,4,83,0.0482,1.0,merchandise google,7
merchandise apparel,4,100,0.0400,2.4,merchandise apparel,5
merchandise for youtubers,4,90,0.0444,8.8,merchandise youtube,6
more bag,4,75,0.0533,2.6,bag,4
nest usa,4,303,0.0132,7.1,nest usa,4
pixelbook return policy,4,12,0.3333,4.3,return policy,4
shirt youtube,4,82,0.0488,3.0,shirt youtube,6
shop merchandise,4,131,0.0305,4.0,shop merchandise,5
shop youtuber,4,66,0.0606,6.7,shop youtube,6
shop.google,4,406,0.0099,6.0,shop google,7
store t shirt,4,88,0.0455,5.1,store shirt,2
that youtube family merchandise,4,121,0.0331,5.5,youtube family merchandise,5
thermal bottle,4,1678,0.0024,14.0,thermal bottle,3
timbuk2 flip pack,4,193,0.0207,3.2,timbuktu flip pack,4
waze ninja,4,88,0.0455,5.0,waze ninja,4
yotube merch,4,23,0.1739,1.1,youtube merchandise,6
youtbe merch,4,11,0.3636,1.5,youtube merchandise,6
youtub shop,4,9,0.4444,1.6,youtube shop,6
youtube boutique,4,105,0.0381,6.5,youtube boutique,6
youtube brand,4,1210,0.0033,8.7,youtube brand,6
youtube clothing brands,4,47,0.0851,4.5,youtube clothing brands,5
youtube creator merchandise,4,48,0.0833,5.5,youtube creator merchandise,6
youtube gaming shirt,4,119,0.0336,6.9,youtube gaming shirt,6
youtube logo tshirt,4,46,0.0870,3.2,youtube logo shirt,2
youtube merch backpack,4,14,0.2857,1.5,youtube merchandise backpack,6
youtube merch websites,4,92,0.0435,7.4,youtube merchandise websites,6
youtube merchandise shop,4,18,0.2222,1.5,youtube merchandise shop,5
youtube play store,4,1404,0.0028,8.9,youtube play store,6
youtube 商品,4,39,0.1026,7.6,youtube,6
youtuber backpack merch,4,52,0.0769,2.9,youtube backpack merchandise,6
youtuber shirt,4,261,0.0153,9.0,youtube shirt,6
youtubers shop,4,138,0.0290,5.8,youtube shop,6
магазин ютуб,4,29,0.1379,11.0,non ascii symbols punctuations numbers,1
यूट्यूब स्टोर,4,119,0.0336,5.3,non ascii symbols punctuations numbers,1
/google+redesign/apparel/mens/mens+t+shirts,3,4,0.7500,1.0,google redesign apparel mens mens shirt,2
android developer t shirt,3,77,0.0390,7.7,android developer shirt,2
android robot toy,3,256,0.0117,8.9,android robot toy,5
apperal store,3,73,0.0411,3.6,apparel store,5
backpack merchandise,3,31,0.0968,1.1,backpack merchandise,5
best in class youtube merch,3,69,0.0435,9.6,best class youtube merchandise,5
cap google,3,106,0.0283,3.6,cap google,7
depway returns,3,322,0.0093,7.9,returns,4
goat hoodie google,3,64,0.0469,6.7,goat hoodie google,7
google accesories,3,142,0.0211,3.9,google accessories,7
google accessoires,3,26,0.1154,9.2,google accessories,7
google ahop,3,114,0.0263,8.3,google,7
google beanies,3,106,0.0283,1.4,google beanies,7
google branded merchandise,3,77,0.0390,1.0,google branded merchandise,7
google cloth,3,92,0.0326,4.6,google cloth,7
google clothing line,3,214,0.0140,1.0,google clothing line,5
google company store,3,138,0.0217,4.1,google company store,7
google drive t shirt,3,26,0.1154,5.6,google drive shirt,7
google employee store,3,129,0.0233,2.3,google employee store,7
google flashlight,3,170,0.0176,16.0,google flashlight,7
google g sticker,3,36,0.0833,7.6,google g sticker,7
google garments,3,87,0.0345,2.2,google garments,7
google gear store,3,57,0.0526,1.2,google gear store,7
google headquarters store,3,44,0.0682,1.6,google headquarters store,7
google logo t shirt india,3,8,0.3750,2.4,google logo shirt india,2
google maps shirt,3,44,0.0682,4.3,google maps shirt,7
google marchandise store,3,118,0.0254,1.0,google store,7
google memorabilia,3,26,0.1154,3.8,google memorabilia,7
google merchandise store canada,3,25,0.1200,1.6,google merchandise store canada,5
google merchandise store deutschland,3,44,0.0682,1.0,google merchandise store deutschland,5
google mzp,3,91,0.0330,4.6,google,7
google online merchandise store,3,64,0.0469,1.0,google online merchandise store,5
google online store,3,193,0.0155,11.0,google online store,7
google paper notebook,3,11,0.2727,1.0,google paper notebook,7
google power bank,3,84,0.0357,5.2,google power bank,7
google shop store,3,67,0.0448,5.6,google shop store,5
google store mountain view california,3,30,0.1000,3.2,google store mountain view california,7
google store palo alto,3,73,0.0411,4.3,google store palo alto,7
google store youtube,3,188,0.0160,7.5,google store youtube,7
google t shirts free,3,30,0.1000,2.4,google shirt free,7
google t-shirt free,3,16,0.1875,2.9,google shirt free,7
google tote,3,30,0.1000,1.0,google tote,7
google zip,3,953,0.0031,8.4,google zip,7
google.cap,3,177,0.0169,1.1,google cap,7
googlemerchandisestore.html,3,20,0.1500,2.0,google html,7
googleplex shop,3,48,0.0625,1.8,google shop,7
googleplex store hours,3,74,0.0405,3.4,google store hours,7
hq merch store,3,239,0.0126,5.1,hq merchandise store,5
jacket youtube,3,101,0.0297,4.6,jacket youtube,6
led stylus pen,3,117,0.0256,6.0,led stylus pen,4
men google,3,130,0.0231,2.0,men google,7
merchandise clothes,3,194,0.0155,5.7,merchandise clothes,5
merchandise kids,3,27,0.1111,3.6,merchandise kids,5
merchandise t shirt,3,265,0.0113,8.8,merchandise shirt,2
merchandise t shirts,3,349,0.0086,16.0,merchandise shirt,2
more bags,3,188,0.0160,2.0,bags,3
nest contact number canada,3,64,0.0469,8.5,nest contact number canada,5
ok google backpack,3,70,0.0429,1.5,ok google backpack,7
ok google backpacks,3,70,0.0429,2.2,ok google backpacks,7
play store stickers,3,39,0.0769,6.2,play store stickers,5
play store youtube,3,899,0.0033,7.7,play store youtube,6
review us on google sticker free,3,98,0.0306,9.2,review us google sticker free,7
shipping information,3,342,0.0088,32.0,shipping information,4
shop on youtube,3,97,0.0309,3.1,shop youtube,6
sketch youtube merch,3,144,0.0208,7.3,sketch youtube merchandise,6
stiker google,3,41,0.0732,1.1,stiker google,7
store google,3,1572,0.0019,12.0,store google,7
t shirt merchandising,3,135,0.0222,8.2,shirt merchandise,2
tabbes merch,3,482,0.0062,8.9,merchandise,4
tee shirt youtube,3,190,0.0158,3.5,t-shirt shirt youtube,2
toutube merch,3,8,0.3750,1.0,youtube merchandise,6
water bottle google,3,22,0.1364,1.0,water bottle google,3
you tuber merch,3,69,0.0435,9.1,tuber merchandise,4
youtube jacke,3,50,0.0600,6.5,youtube jacke,6
youtube logo t shirt india,3,19,0.1579,3.6,youtube logo shirt india,2
youtube merche,3,21,0.1429,40.0,youtube,6
youtube metch,3,10,0.3000,1.3,youtube,6
youtube onesie,3,25,0.1200,9.0,youtube onesie,6
youtube online shopping,3,84,0.0357,12.0,youtube online shop,6
youtube or merch,3,21,0.1429,1.7,youtube merchandise,6
youtube print t shirt,3,76,0.0395,2.9,youtube print shirt,2
youtube shop italia,3,167,0.0180,3.2,youtube shop italia,6
youtube sweatshirts,3,55,0.0545,4.7,youtube shirt,6
youtube स्टोर,3,284,0.0106,5.0,youtube,6
youtuber merch shops,3,67,0.0448,6.8,youtube merchandise shop,5
youtuber merch store,3,29,0.1034,2.8,youtube merchandise store,5
youtuber t-shirt,3,100,0.0300,4.4,youtube shirt,6
youtubers merch backpacks,3,70,0.0429,5.9,youtube merchandise backpacks,5
youtubers merch stores,3,87,0.0345,9.2,youtube merchandise store,5
متجر اليوتيوب,3,8,0.3750,2.5,non ascii symbols punctuations numbers,1
متجر يوتيوب,3,90,0.0333,5.0,non ascii symbols punctuations numbers,1
7dog. com,2,28,0.0714,11.0,dog com,4
andriod toy,2,27,0.0741,6.0,android toy,4
android accessories store,2,64,0.0312,12.0,android accessories store,5
android figurines,2,154,0.0130,9.3,android figurines,4
android sticker pack,2,59,0.0339,8.9,android sticker pack,3
android stuffed animal,2,44,0.0455,9.1,android stuffed animal,3
angular merchandise,2,2,1.0000,5.0,angular merchandise,4
apparel stores,2,197,0.0102,20.0,apparel store,5
apparels store,2,47,0.0426,8.0,apparel store,5
baby google,2,766,0.0026,8.3,baby google,7
baby onesie,2,765,0.0026,32.0,baby onesie,4
bag goog,2,7,0.2857,1.1,bag google,7
bearing merchandise,2,19,0.1053,8.2,bearing merchandise,5
brat youtube merch,2,52,0.0385,5.8,brat youtube merchandise,6
clothing merchandise,2,414,0.0048,7.7,clothing merchandise,5
decals store,2,8,0.2500,6.9,decals store,5
electronic google,2,117,0.0171,2.7,electronic google,7
emoji packs,2,26,0.0769,18.0,emotion packs,4
emoji sticker pack,2,1730,0.0012,13.0,emotion sticker pack,3
flamingo youtuber merchandise,2,35,0.0571,5.8,flamingo youtube merchandise,6
free google merchandise,2,23,0.0870,2.4,free google merchandise,7
fun accessories,2,176,0.0114,9.9,fun accessories,5
fx2 shipping,2,951,0.0021,7.7,fx shipping,4
gogle shop,2,381,0.0052,7.6,google shop,7
golang tshirt,2,114,0.0175,8.7,shirt,2
google assistant t-shirt,2,18,0.1111,4.3,google assistant shirt,2
google bike,2,144,0.0139,13.0,google bike,7
google chrome shirt,2,36,0.0556,4.9,google chrome shirt,7
google chrome stickers,2,38,0.0526,5.3,google chrome stickers,7
google cloud hoodie,2,4,0.5000,2.5,google cloud hoodie,7
google cloud platform t shirt,2,5,0.4000,4.4,google cloud platform shirt,7
google coffee mugs,2,22,0.0909,1.0,google mugs,7
google flex,2,504,0.0040,8.2,google flex,7
google glass bottle,2,25,0.0800,1.7,google glass bottle,3
google goodies,2,44,0.0455,5.4,google goodies,7
google goods,2,172,0.0116,10.0,google goods,7
google goods store,2,60,0.0333,3.7,google goods store,5
google guide t shirt,2,17,0.1176,6.2,google guide shirt,7
google handbags,2,40,0.0500,9.6,google handbags,7
google home mini return policy,2,10,0.2000,6.4,google home mini return policy,5
google io shirt,2,32,0.0625,3.5,google io shirt,7
google io tshirt,2,16,0.1250,3.3,google io shirt,7
google it t shirt,2,114,0.0175,1.3,google shirt,7
google man,2,1442,0.0014,6.3,google man,7
google maps t shirt,2,69,0.0290,6.6,google maps shirt,7
google mechandise,2,34,0.0588,1.0,google merchandise,7
google merchadise store,2,75,0.0267,1.0,google merchandise store,5
google merchandise deutschland,2,20,0.1000,1.6,google merchandise deutschland,7
google merchandise store san francisco,2,18,0.1111,2.8,google merchandise store san francisco,5
google merchandisestore,2,38,0.0526,1.1,google merchandise,7
google mini stickers,2,521,0.0038,8.4,google mini stickers,7
google mountain view store,2,59,0.0339,3.4,google mountain view store,7
google office products,2,134,0.0149,9.7,google office products,7
google official merchandise,2,77,0.0260,1.1,google official merchandise,7
google partner store,2,144,0.0139,4.6,google partner store,7
google pen price,2,31,0.0645,4.4,google pen price,7
google phone return policy,2,94,0.0213,7.2,google phone return policy,7
google redesign,2,295,0.0068,12.0,google redesign,7
google return policy canada,2,26,0.0769,4.8,google return policy canada,7
google shirts for sale,2,9,0.2222,1.0,google shirt sale,7
google shits,2,895,0.0022,4.7,google,7
google shopping bag,2,77,0.0260,4.6,google shop bag,5
google shurt,2,29,0.0690,1.0,google shirt,7
google sticker store,2,10,0.2000,5.6,google sticker store,7
google store delivery time uk,2,17,0.1176,5.4,google store delivery time uk,5
google store order status,2,120,0.0167,6.5,google store order status,7
google store register,2,16,0.1250,5.0,google store register,7
google store return shipping,2,74,0.0270,8.0,google store return shipping,5
google store san francisco,2,23,0.0870,6.6,google store san francisco,7
google store san jose,2,106,0.0189,3.1,google store san jose,7
google store sign in,2,226,0.0088,6.6,google store sign,7
google swag bag,2,52,0.0385,4.0,google swag bag,3
google sweat,2,91,0.0220,3.8,google sweat,7
google tasche,2,14,0.1429,1.4,google,7
google toddler,2,99,0.0202,1.2,google toddler,7
google unisex t shirts,2,106,0.0189,1.0,google unisex shirt,2
google writing,2,607,0.0033,9.7,google writing,7
google yellow,2,737,0.0027,5.3,google yellow,7
google you tube,2,142,0.0141,12.0,google youtube,7
google.youtube,2,72,0.0278,11.0,google youtube,7
googlebag,2,54,0.0370,1.3,google,7
googlecups,2,8,0.2500,1.0,google,7
googlelight,2,437,0.0046,6.5,google,7
googley swag,2,40,0.0500,1.8,google swag,7
gooogle shop,2,122,0.0164,7.7,google shop,7
headgear brand,2,25,0.0800,7.1,headgear brand,4
how to get google developer t-shirt,2,50,0.0400,5.8,get google developer shirt,7
kids youtube shirt,2,120,0.0167,5.7,kids youtube shirt,6
laptop stickers,2,330,0.0061,47.0,laptop stickers,3
like us on google sticker,2,38,0.0526,5.9,like us google sticker,7
loja do youtube,2,6,0.3333,30.0,loja youtube,6
malibu sunglasses,2,106,0.0189,16.0,malibu sunglasses,4
men apparel,2,946,0.0021,45.0,men apparel,5
merch youtubers,2,107,0.0187,9.5,merchandise youtube,6
merchandise clothing,2,303,0.0066,10.0,merchandise clothing,5
merchandise cups,2,46,0.0435,3.0,merchandise cups,5
merchandise for kids,2,112,0.0179,4.1,merchandise kids,5
merchandise shirts,2,251,0.0080,7.2,merchandise shirt,2
merchandise youtuber,2,104,0.0192,7.0,merchandise youtube,6
merchandisestore,2,17,0.1176,2.1,merchandise,4
merchendise store,2,30,0.0667,2.2,merchandise store,5
